country_name,year,region_name_harmonized,HD_size_dejure_mean,HL_IMR,HL_U5MR,ED_educ_years_mean,WL_wealth_mean,gdp_pc
Ghana,1995,Greater Accra,3.524,53.134,87.78,8.21,49.546,2094.23774414063
Ghana,1995,Volta,4.442,40.274,72.43,5.748,18.514,2074.8248046875
Ghana,1995,Eastern,3.36,54.16,95.596,6.646,24.592,2094.23774414063
Ghana,1995,Ashanti,3.148,46.312,79.55,6.14,27.66,2094.23774414063
Ghana,1995,Brong Ahafo,3.47,57.956,106.624,5.446,21.502,2099.39916992188
Ghana,1995,Northern,4.59,92.26,193.56,1.336,20.806,2091.29992675781
Ghana,1995,Upper East,4.676,69.486,145.25,2.262,22.488,2078.73754882812
Ghana,1995,Upper West,4.81,87.82,164.784,1.82,19.662,2059.06274414062
Indonesia,1995,DKI Jakarta,4.94,25.9533333333333,35.9,4.74,63.9,12532.8492838542
Indonesia,1995,West Java + Banten,4.23666666666667,72.44,96.45,4.09333333333333,45.9,4775.18180338542
Indonesia,1995,Central Java,4.27,34.0233333333333,50.1766666666667,3.79,40.4766666666667,4232.39664713542
Indonesia,1995,DI Yogyakarta,3.78666666666667,23.47,29.33,4.47,46.1933333333333,3844.02962239583
Indonesia,1995,East Java,3.98666666666667,41.2133333333333,51.2766666666667,3.69666666666667,42.24,5150.25927734375
Indonesia,1995,Bali,4.29666666666667,42.6033333333333,46.0333333333333,3.59,52.0,6002.70100911458
Indonesia,1995,Aceh,5.04,47.2333333333333,62.8633333333333,3.93,39.7,12867.908203125
Indonesia,1995,North Sumatra,5.08,49.9,84.68,4.38,46.0233333333333,6062.56070963542
Indonesia,1995,West Sumatra,4.49,71.43,93.03,4.58666666666667,43.08,4659.01676432292
Indonesia,1995,South Sumatra + Bangka Belitung,4.75666666666667,46.44,73.3466666666667,3.98,43.8366666666667,6676.79524739583
Indonesia,1995,Lampung,4.56333333333333,40.0366666666667,59.5133333333333,4.03333333333333,33.49,3217.45922851562
Indonesia,1995,West Nusa Tenggara,4.36333333333333,96.0066666666667,125.673333333333,3.08666666666667,36.8033333333333,2308.13387044271
Indonesia,1995,West Kalimantan,4.86666666666667,79.47,109.52,3.06666666666667,43.0966666666667,4753.31510416667
Indonesia,1995,South Kalimantan,4.16333333333333,68.1233333333333,80.7066666666667,4.30333333333333,48.6366666666667,5384.00358072917
Indonesia,1995,North Sulawesi + Gorontalo,4.12,54.7433333333333,76.63,5.45666666666667,41.2066666666667,4067.392578125
Indonesia,1995,Bengkulu,4.71,78.6133333333333,114.6,4.2,39.3366666666667,3437.25463867188
Indonesia,1995,South + West Sulawesi,4.94,55.9533333333333,74.9233333333333,3.32666666666667,41.8433333333333,4005.01888020833
