parl25,constituency-name,parl25-deprivation-score,label,desc,low-deprivation,medium-deprivation,high-deprivation,parl25-imd-pop-quintile,parl25-imd-pop-decile
UKPARL.2025.LWT,Lowestoft,27.46615527,2nd IMD quintile,Constituencies in second most deprived quintile (20%),0.255847177,0.459804482,0.284348341,2,3
UKPARL.2025.LUS,Luton South and South Bedfordshire,27.42732348,2nd IMD quintile,Constituencies in second most deprived quintile (20%),0.139952641,0.48798073,0.372066629,2,3
UKPARL.2025.BKP,Brighton Kemptown and Peacehaven,27.39776462,2nd IMD quintile,Constituencies in second most deprived quintile (20%),0.323862391,0.383229356,0.292908254,2,3
UKPARL.2025.ASF,Ashfield,27.39154573,2nd IMD quintile,Constituencies in second most deprived quintile (20%),0.177094369,0.509178144,0.313727488,2,3
UKPARL.2025.VCG,Vauxhall and Camberwell Green,27.34480083,2nd IMD quintile,Constituencies in second most deprived quintile (20%),0.049428412,0.792625586,0.157946002,2,3
UKPARL.2025.SOI,Southampton Itchen,27.29955186,2nd IMD quintile,Constituencies in second most deprived quintile (20%),0.162811582,0.586916295,0.250272124,2,3
UKPARL.2025.ENF,Enfield North,27.29247169,2nd IMD quintile,Constituencies in second most deprived quintile (20%),0.175513998,0.52809607,0.296389932,2,3
UKPARL.2025.RAH,Runcorn and Helsby,27.23756646,2nd IMD quintile,Constituencies in second most deprived quintile (20%),0.444684759,0.188054108,0.367261133,2,3
UKPARL.2025.BPN,Blackpool North and Fleetwood,27.18335571,2nd IMD quintile,Constituencies in second most deprived quintile (20%),0.255218043,0.492998703,0.251783254,2,3
UKPARL.2025.WWE,Wolverhampton West,27.14515639,2nd IMD quintile,Constituencies in second most deprived quintile (20%),0.270890771,0.391016805,0.338092425,2,3
UKPARL.2025.DRL,Darlington,27.07701932,2nd IMD quintile,Constituencies in second most deprived quintile (20%),0.303683298,0.379910213,0.316406489,2,3
UKPARL.2025.AAS,Airdrie and Shotts,27.06766671,2nd IMD quintile,Constituencies in second most deprived quintile (20%),0.242884819,0.426870918,0.330244263,2,3
